iter	Passed	Remaining
404	8236	1932
405	8260	1912
406	8284	1892
407	8303	1872
408	8322	1851
409	8340	1830
410	8367	1811
411	8385	1791
412	8404	1770
413	8423	1749
414	8447	1730
415	8470	1710
416	8492	1690
417	8511	1669
418	8530	1649
419	8548	1628
420	8566	1607
421	8585	1586
422	8604	1566
423	8622	1545
424	8640	1524
425	8660	1504
426	8682	1484
427	8705	1464
428	8724	1443
429	8742	1423
430	8760	1402
431	8777	1381
432	8795	1361
433	8813	1340
434	8830	1319
435	8848	1298
436	8867	1278
437	8891	1258
438	8916	1239
439	8935	1218
440	8953	1197
441	8971	1177
442	8989	1156
443	9008	1136
444	9026	1115
445	9045	1095
446	9063	1074
447	9089	1054
448	9113	1035
449	9148	1016
450	9171	996
451	9190	976
452	9209	955
453	9227	934
454	9245	914
455	9263	893
456	9285	873
457	9309	853
458	9336	833
459	9355	813
460	9372	792
461	9392	772
462	9413	752
463	9432	731
464	9451	711
465	9470	690
466	9489	670
467	9514	650
468	9538	630
469	9556	610
470	9575	589
471	9593	569
472	9610	548
473	9629	528
474	9647	507
475	9666	487
476	9684	466
477	9707	446
478	9732	426
479	9750	406
480	9773	386
481	9790	365
482	9809	345
483	9827	324
484	9845	304
485	9862	284
486	9881	263
487	9902	243
488	9928	223
489	9946	202
490	9967	182
491	9986	162
492	10005	142
493	10023	121
494	10041	101
495	10059	81
496	10076	60
497	10094	40
498	10119	20
499	10149	0
