iter	RMSE
0	527.0494887
1	448.5491962
2	381.9119196
3	325.2635959
4	277.2989811
5	236.6582625
6	202.1626458
7	172.9319162
8	147.7830739
9	126.421823
10	108.4621355
11	93.25310464
12	80.5220426
13	69.91905831
14	60.96516688
15	53.43040959
16	47.04790076
17	41.91120853
18	37.66865824
19	34.30789138
20	31.48369201
21	29.27480212
22	27.53079564
23	26.1703515
24	25.09316542
25	24.23161951
26	23.58036659
27	23.03632738
28	22.62029043
29	22.30850832
30	22.03769268
31	21.82323912
32	21.62804484
33	21.47415381
34	21.35296352
35	21.24170395
36	21.151596
37	21.07563473
38	20.99860561
39	20.93218471
40	20.87765816
41	20.82069242
42	20.77111351
43	20.72682117
44	20.67844847
45	20.64620623
46	20.61352134
47	20.58381336
48	20.54359458
49	20.51713855
50	20.48662577
51	20.46274303
52	20.43113636
53	20.4016555
54	20.38336857
55	20.35511849
56	20.33658997
57	20.31951796
58	20.30148121
59	20.27941235
60	20.2627471
61	20.24205892
62	20.22590947
63	20.20381206
64	20.17863942
65	20.1613611
66	20.14151508
67	20.13079918
68	20.10703812
69	20.09210747
70	20.0719339
71	20.06139929
72	20.04769613
73	20.03613476
74	20.0233529
75	20.00615937
76	19.99462681
77	19.98067042
78	19.97127663
79	19.96353894
80	19.95677683
81	19.94921622
82	19.93480859
83	19.92127028
84	19.90756653
85	19.8957054
86	19.88420158
87	19.87566798
88	19.86645702
89	19.85911688
90	19.84824582
91	19.84131618
92	19.82888354
93	19.82259285
94	19.81249244
95	19.80617931
96	19.79719684
97	19.78541675
98	19.78019605
99	19.77113114
100	19.76741098
101	19.75690183
102	19.74535802
103	19.73667983
104	19.73215474
105	19.72840127
106	19.72281682
107	19.72019737
108	19.71287451
109	19.7056042
110	19.69621617
111	19.68954954
112	19.67982188
113	19.67382183
114	19.6683566
115	19.6601654
116	19.6526708
117	19.64516809
118	19.63810614
119	19.6337605
120	19.62720976
121	19.62274415
122	19.61951603
123	19.61446265
124	19.61061575
125	19.60477717
126	19.59983208
127	19.5960619
128	19.59149438
129	19.58289345
130	19.58051178
131	19.57505035
132	19.56951221
133	19.56610193
134	19.56154583
135	19.55168738
136	19.5473766
137	19.53791983
138	19.53344892
139	19.53048501
140	19.52687293
141	19.52402338
142	19.51986622
143	19.51378765
144	19.51056177
145	19.50823773
146	19.50110982
147	19.49670666
148	19.49444102
149	19.4917883
150	19.48904785
151	19.48007593
152	19.47366842
153	19.4702822
154	19.46735096
155	19.45918019
156	19.45545326
157	19.44831867
158	19.44443515
159	19.44032049
160	19.43745739
161	19.43180426
162	19.4288007
163	19.42420311
164	19.42160077
165	19.41864254
166	19.41411675
167	19.4095666
168	19.40468116
169	19.39999553
170	19.39823857
171	19.3959157
172	19.3941343
173	19.39166782
174	19.38782387
175	19.38214833
176	19.38034965
177	19.37782981
178	19.37524121
179	19.37240503
180	19.3694164
181	19.3670988
182	19.36267043
183	19.36020657
184	19.35812045
185	19.35590819
186	19.3522293
187	19.34892644
188	19.34432574
189	19.33961431
190	19.33704001
191	19.33485001
192	19.33310313
193	19.33143562
194	19.33012025
195	19.32554317
196	19.32104232
197	19.31684486
198	19.31232377
199	19.3102459
200	19.30823599
201	19.30443282
202	19.3013539
203	19.30051821
204	19.29802785
205	19.29405615
206	19.28850502
207	19.28703285
208	19.28490953
209	19.2829519
210	19.27985109
211	19.27570764
212	19.27362602
213	19.27113358
214	19.26866118
215	19.26607599
216	19.26487823
217	19.26163366
218	19.2585372
219	19.25739463
220	19.25516083
221	19.25103208
222	19.24943816
223	19.24774877
224	19.24578798
225	19.2440099
226	19.24310068
227	19.24207814
228	19.23956149
229	19.23806384
230	19.23551163
231	19.23235747
232	19.22847599
233	19.22646644
234	19.22479384
235	19.22203023
236	19.21997329
237	19.21852514
238	19.21574821
239	19.21348365
240	19.21154218
241	19.20993112
242	19.20861107
243	19.20609397
244	19.20443346
245	19.20265328
246	19.19942089
247	19.19860297
248	19.19595647
249	19.1949502
250	19.1922085
251	19.18730649
252	19.1858462
253	19.18421805
254	19.18194873
255	19.17968454
256	19.1762092
257	19.17426656
258	19.17325679
259	19.17145949
260	19.16887214
261	19.16761642
262	19.16604907
263	19.16430605
264	19.16316004
265	19.16105771
266	19.15982765
267	19.15873581
268	19.15654575
269	19.15311393
270	19.14984382
271	19.14828745
272	19.14660099
273	19.1455248
274	19.1435047
275	19.1422611
276	19.1411643
277	19.13866753
278	19.13533623
279	19.13453442
280	19.13374016
281	19.13142976
282	19.12941619
283	19.12797246
284	19.12642762
285	19.12554342
286	19.1245135
287	19.12301992
288	19.12142366
289	19.11941866
290	19.1180869
291	19.11701337
292	19.11514472
293	19.11313419
294	19.11263842
295	19.11134338
296	19.10984364
297	19.10862105
298	19.10766087
299	19.10492222
300	19.10379788
301	19.10197045
302	19.10136598
303	19.09983127
304	19.09851345
305	19.09573436
306	19.09435712
307	19.09284592
308	19.09089727
309	19.08931628
310	19.08705512
311	19.08610496
312	19.08493167
313	19.08437222
314	19.08290264
315	19.08174086
316	19.0792674
317	19.0781795
318	19.07580321
319	19.07461749
320	19.07308067
321	19.07238672
322	19.07109085
323	19.06977208
324	19.06854196
325	19.06702473
326	19.06611854
327	19.06458072
328	19.06351891
329	19.06159106
330	19.06104303
331	19.05773916
332	19.05671904
333	19.05580734
334	19.05394569
335	19.05150541
336	19.04962017
337	19.0491752
338	19.04763852
339	19.04584107
340	19.04496518
341	19.04441965
342	19.04362941
343	19.04148468
344	19.03975043
345	19.03778434
346	19.03634086
347	19.0351365
348	19.03404854
349	19.03295738
350	19.03233057
351	19.03085268
352	19.02951394
353	19.02906748
354	19.02843994
355	19.02684325
356	19.0246479
357	19.02344541
358	19.02081884
359	19.01945537
360	19.01765575
361	19.01695052
362	19.01632455
363	19.01490139
364	19.01362874
365	19.01209949
366	19.01066237
367	19.00944026
368	19.00868511
369	19.00742248
370	19.00492102
371	19.00370151
372	19.00269277
373	19.00090641
374	19.00015941
375	18.99942802
376	18.99826876
377	18.99690732
378	18.99579931
379	18.99488948
380	18.99377866
381	18.99217446
382	18.99091955
383	18.9896588
384	18.98901514
385	18.98802179
386	18.9868833
387	18.98560903
388	18.98396399
389	18.98259571
390	18.98141994
391	18.97889944
392	18.9771911
393	18.97637219
394	18.97539584
395	18.97368971
396	18.97281098
397	18.97168407
398	18.97089332
399	18.96962737
400	18.96804131
401	18.96701055
402	18.96548868
403	18.96492213
404	18.96395949
405	18.96307381
406	18.96214316
407	18.9617061
408	18.9597958
409	18.95822453
410	18.95721118
411	18.95618247
412	18.95512752
413	18.95404653
414	18.95295778
415	18.95258315
416	18.9516217
417	18.95063853
418	18.94956137
419	18.94895763
420	18.94733004
421	18.94621226
422	18.94482092
423	18.94297216
424	18.94150892
425	18.93964084
426	18.93807999
427	18.93646543
428	18.93526495
429	18.93434522
430	18.93346601
431	18.93235638
432	18.931741
433	18.92990209
434	18.92870373
435	18.9275803
436	18.92634334
437	18.92554047
438	18.92427849
439	18.92106379
440	18.91877804
441	18.9181784
442	18.91762801
443	18.91668997
444	18.91540639
445	18.91445036
446	18.9133776
447	18.9108695
448	18.90995313
449	18.90897892
450	18.90799519
451	18.90736049
452	18.90675517
453	18.90594492
454	18.90492192
455	18.90389834
456	18.90266921
457	18.90155977
458	18.90031043
459	18.89892218
460	18.89857455
461	18.89696836
462	18.89587213
463	18.8945116
464	18.89359345
465	18.89238055
466	18.8917391
467	18.8909599
468	18.88956266
469	18.88578868
470	18.88439001
471	18.88372135
472	18.88311389
473	18.88277505
474	18.88201552
475	18.88078276
476	18.87998629
477	18.87933726
478	18.87822313
479	18.87643613
480	18.8753364
481	18.87480036
482	18.87301611
483	18.87202586
484	18.87029202
485	18.86983943
486	18.86895475
487	18.86761566
488	18.8667394
489	18.86587089
490	18.86496884
491	18.86395409
492	18.86296671
493	18.86158697
494	18.86064919
495	18.86014752
496	18.8593148
497	18.85883753
498	18.85702721
499	18.85564014
